mission,koi_id,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler, 7455287,143.459480,12.071342,0.180100,1
Kepler, 7455287,152.315540,20.995879,0.109721,1
Kepler, 7458762,175.347540,7.411132,0.105175,1
Kepler, 7552344,169.974229,1.000747,0.041529,0
Kepler, 757450,169.991686,8.884923,0.086252,1
Kepler, 7585481,176.623731,8.098889,0.175100,1
Kepler, 7663691,176.968980,10.006530,0.222667,1
Kepler, 5812701,146.596466,17.855222,0.308870,1
Kepler, 8039892,173.433997,5.007317,0.176508,1
Kepler, 8150320,170.150139,2.211117,0.068687,1
Kepler, 8150320,178.737910,27.954134,0.164583,1
Kepler, 11086270,137.125940,12.691044,0.157196,1
Kepler, 7767559,171.894330,4.409409,0.160983,0
Kepler, 7825899,175.569907,16.239471,0.168225,1
Kepler, 7825899,174.047661,6.308202,0.124104,1
Kepler, 7849854,169.890622,2.052350,0.086575,1
Kepler, 7870390,175.713720,9.770449,0.102154,1
Kepler, 7870390,172.631530,5.169804,0.089708,1
Kepler, 5094751,137.574030,21.222612,0.271221,1
Kepler, 7870390,147.977880,20.090170,0.173083,1
Kepler, 7907423,174.323510,7.113733,0.090683,1
Kepler, 7907423,134.372110,3.306552,0.075737,1
Kepler, 7907423,147.389650,15.368457,0.102975,1
Kepler, 8490993,171.009540,4.093578,0.107637,1
Kepler, 8490993,178.367000,105.145959,0.358042,1
Kepler, 8505670,171.805840,10.848452,0.124971,1
Kepler, 8505670,137.439880,6.668332,0.079792,1
Kepler, 8544996,169.637565,4.082275,0.134590,1
Kepler, 8150320,139.060400,42.140609,0.211792,1
Kepler, 8150320,135.049090,4.617491,0.094242,1
Kepler, 8150320,137.920670,10.198493,0.101179,1
Kepler, 8180063,172.697467,5.795064,0.135400,0
Kepler, 8226994,174.135110,7.156816,0.107842,1
Kepler, 8226994,133.545330,17.648309,0.086971,1
Kepler, 8226994,133.388100,4.148107,0.105625,1
Kepler, 8247638,176.116860,16.514110,0.173229,1
Kepler, 8247638,190.383360,30.132930,0.215500,1
Kepler, 8247638,136.311060,4.790908,0.108458,1
Kepler, 11086270,142.820830,31.719810,0.200792,1
Kepler, 8247638,198.686640,99.641596,0.185333,1
Kepler, 8255887,171.446507,4.708326,0.131714,1
Kepler, 8256049,172.759260,16.371987,0.160204,0
